"study_id","n_effects","n_sites"
"Craig et al. (2015)",1,1
"Craig et al. (2004)",1,1
"de Swardt & Peach (2001)",1,1
"Delestrade & Stoyanov (1995)",1,1
"Dhondt et al. (1998)",1,1
"Domínguez & Cuadrado (1994)",1,1
"Duckworth et al. (2012)",1,1
"Duriez et al. (2012)",1,1
"Evans et al. (2009)",1,1
"Ferro & Boano (1994)",1,1
"Francis & Saurola (2002)",1,1
"Franke et al. (2011)",1,1
"Frantz et al. (2019)",1,1
"Gardali et al. (2000)",1,1
"Gardali et al. (2003)",1,1
"Grande et al. (2009)",1,1
"Green et al. (1997)",1,1
"Hernández-Matías et al. (2011)",1,1
"Hiraldo et al. (1996)",1,1
"Hunt et al. (2013)",1,1
"Hámori et al. (2017)",1,1
"Jankowiak et al. (2016)",1,1
"Johnson et al. (2010)",1,1
"Johnstone (1998)",1,1
"Karell et al. (2009)",1,1
"Kauffman et al. (2003)",1,1
"Keyser et al. (2004)",1,1
"Koivula et al. (2008)",1,1
"Kostecke et al. (2008)",1,1
"Kralj et al. (2018)",1,1
"Larson et al. (2000)",1,1
"Le Gouar et al. (2011)",1,1
"Ledwón et al. (2013)",1,1
"Lieske et al. (2000)",1,1
"Lloyd (2008)",1,1
"Loison et al. (2002)",1,1
"Low et al. (2010)",1,1
"López-Iborra et al. (2006)",1,1
"López-Iborra et al. (2013)",1,1
"Macario et al. (2017)",1,1
"Martin et al. (2009)",1,1
"Marvelde et al. (2009)",1,1
"Masoero et al. (2016)",1,1
"Mazerolle et al. (2005)",1,1
"McDonald (1993)",1,1
"McGrady et al. (2016)",1,1
"Mendez et al. (2018)",1,1
"Migot (1992)",1,1
"Mihoub et al. (2010)",1,1
"Miller et al. (2003)",1,1
"Millsap (2002)",1,1
"Monticelli et al. (2014)",1,1
"Morrison (2003)",1,1
"Mullin et al. (2010)",1,1
"Mumme (2015)",1,1
"Murphy (2001)",1,1
"Murphy et al. (2017)",1,1
"Møller et al. (2005)",1,1
"Nevoux et al. (2008)",1,1
"Noer & Secher (1983)",1,1
"North (1979)",1,1
"Nur et al. (2004)",1,1
"Ortega & Ortega (2009)",1,1
"Pakanen & Thorup (2016)",1,1
"Palestis & Hines (2015)",1,1
"Paton (1994)",1,1
"Payne & Payne (1990)",1,1
"Pellegrini et al. (2011)",1,1
"Pichorim & Monteiro-Filho (2010)",1,1
"Picozzi (1984)",1,1
"Podmokla et al. (2017)",1,1
"Pradel et al. (1997)",1,1
"Presti et al. (2018)",1,1
"Prugnolle et al. (2003)",1,1
"Rangel-Salazar et. al (2008)",1,1
"Redmond & Murphy (2011)",1,1
"Renken & Smith (1995)",1,1
"Reynolds & Joy (2006)",1,1
"Robinson (2010)",1,1
"Robinson et al. (2010)",1,1
"Rockwell et al. (2017)",1,1
"Rodrigues et al. (2013)",1,1
"Rodríguez-Ruiz et al. (2019)",1,1
"Ryder & Sillett (2016)",1,1
"Saalfeld et al. (2013)",1,1
"Salgado-Oritz et al. (2008)",1,1
"Sandercock et al. (2005)",1,1
"Sankamethawee et al. (2011)",1,1
"Saunders et al. (2014)",1,1
"Schaub & von Hirschheydt (2009)",1,1
"Schmutz et al. (2006)",1,1
"Schmutz et al. (2008)",1,1
"Sergio et al. (2011)",1,1
"Shitikov et al. (2013a)",1,1
"Shitikov et al. (2013b)",1,1
"Shitikov et al. (2016)",1,1
"Sillet & Holmes (2002)",1,1
"Silvano & Boano (2012)",1,1
"Smart et al. (2010)",1,1
"Smith et al. (2017)",1,1
"Sofaer et al. (2014)",1,1
"Spendelow et al. (2008)",1,1
"Stenzel et al. (2011)",1,1
"Stokke et al. (2005)",1,1
"Stutchbury et al. (2009)",1,1
"Szostek & Becker (2012)",1,1
"Szép (1991)",1,1
"Tang et al. (2017)",1,1
"Tavares-Damasceno et al. (2017)",1,1
"Tomson et al. (1997)",1,1
"Versluijs et al. (2016)",1,1
"Väli & Bergmanis (2017)",1,1
"Wahl & Barbraud (2014)",1,1
"Wellicome et al. (2014)",1,1
"Wilke et al. (2017)",1,1
"Willson & Pendleton (2008)",1,1
"Wolfe et al. (2015)",1,1
"Woltmann & Sherry (2011)",1,1
"Zimmerman et al. (2007)",1,1
"Zöckler et al. (2010)",1,1
