"site_key","latitude","longitude","site_id"
"-33.91000000_22.79000000",-33.91,22.79,"-33.91000000_22.79000000"
"-34.20000000_148.35000000",-34.2,148.35,"-34.20000000_148.35000000"
"-34.20336400_24.83351500",-34.203364,24.833515,"-34.20336400_24.83351500"
"-34.66000000_117.01000000",-34.66,117.01,"-34.66000000_117.01000000"
"-34.73333300_116.20000000",-34.733333,116.2,"-34.73333300_116.20000000"
"-35.00000000_-67.65000000",-35,-67.65,"-35.00000000_-67.65000000"
"-35.15276500_150.71296800",-35.152765,150.712968,"-35.15276500_150.71296800"
"-35.26000000_148.82000000",-35.26,148.82,"-35.26000000_148.82000000"
"-35.66000000_-72.26000000",-35.66,-72.26,"-35.66000000_-72.26000000"
"-35.66000000_148.94000000",-35.66,148.94,"-35.66000000_148.94000000"
"-36.62000000_146.53000000",-36.62,146.53,"-36.62000000_146.53000000"
"-36.78333300_146.56666700",-36.783333,146.566667,"-36.78333300_146.56666700"
"-36.98000000_147.14000000",-36.98,147.14,"-36.98000000_147.14000000"
"-37.31000000_145.64000000",-37.31,145.64,"-37.31000000_145.64000000"
"-37.33333300_-58.41666700",-37.333333,-58.416667,"-37.33333300_-58.41666700"
"-37.40000000_144.25000000",-37.4,144.25,"-37.40000000_144.25000000"
"-37.43000000_145.31000000",-37.43,145.31,"-37.43000000_145.31000000"
"-37.47000000_145.53000000",-37.47,145.53,"-37.47000000_145.53000000"
"-37.50000000_145.57000000",-37.5,145.57,"-37.50000000_145.57000000"
"-37.50000000_145.60000000",-37.5,145.6,"-37.50000000_145.60000000"
"-37.51000000_145.45000000",-37.51,145.45,"-37.51000000_145.45000000"
"-37.51000000_145.72000000",-37.51,145.72,"-37.51000000_145.72000000"
"-37.56000000_149.64000000",-37.56,149.64,"-37.56000000_149.64000000"
"-37.60000000_143.12000000",-37.6,143.12,"-37.60000000_143.12000000"
"-37.65000000_145.56666700",-37.65,145.566667,"-37.65000000_145.56666700"
"-37.81000000_146.77000000",-37.81,146.77,"-37.81000000_146.77000000"
"-37.81666700_144.51666700",-37.816667,144.516667,"-37.81666700_144.51666700"
"-37.88333300_146.65000000",-37.883333,146.65,"-37.88333300_146.65000000"
"-37.93805600_146.57750000",-37.938056,146.5775,"-37.93805600_146.57750000"
"-37.95000000_146.46666700",-37.95,146.466667,"-37.95000000_146.46666700"
"-37.99000000_145.86000000",-37.99,145.86,"-37.99000000_145.86000000"
"-38.00000000_-71.00000000",-38,-71,"-38.00000000_-71.00000000"
"-38.20000000_-71.80000000",-38.2,-71.8,"-38.20000000_-71.80000000"
"-38.75000000_-63.75000000",-38.75,-63.75,"-38.75000000_-63.75000000"
"-38.79000000_-71.51000000",-38.79,-71.51,"-38.79000000_-71.51000000"
"-38.80000000_-71.50000000",-38.8,-71.5,"-38.80000000_-71.50000000"
"-4.30000000_-79.37000000",-4.3,-79.37,"-4.30000000_-79.37000000"
"-41.04833300_-71.55944400",-41.048333,-71.559444,"-41.04833300_-71.55944400"
"-41.70000000_146.25000000",-41.7,146.25,"-41.70000000_146.25000000"
"-42.29000000_146.09000000",-42.29,146.09,"-42.29000000_146.09000000"
"0.28000000_37.86666770",0.28,37.8666677,"0.28000000_37.86666770"
"11.00000000_77.08333300",11,77.083333,"11.00000000_77.08333300"
"11.55000000_76.51666700",11.55,76.516667,"11.55000000_76.51666700"
"11.57250000_76.50638900",11.5725,76.506389,"11.57250000_76.50638900"
"12.00000000_77.56666700",12,77.566667,"12.00000000_77.56666700"
"15.67000000_99.17000000",15.67,99.17,"15.67000000_99.17000000"
"16.25000000_-93.55000000",16.25,-93.55,"16.25000000_-93.55000000"
"19.36666700_-98.70000000",19.366667,-98.7,"19.36666700_-98.70000000"
"19.40000000_-155.15000000",19.4,-155.15,"19.40000000_-155.15000000"
"19.61000000_-103.90000000",19.61,-103.9,"19.61000000_-103.90000000"
"19.86666700_-98.08333300",19.866667,-98.083333,"19.86666700_-98.08333300"
"20.30000000_-104.03000000",20.3,-104.03,"20.30000000_-104.03000000"
"20.61000000_-103.60000000",20.61,-103.6,"20.61000000_-103.60000000"
"23.73000000_-105.42000000",23.73,-105.42,"23.73000000_-105.42000000"
"24.61666700_79.93333300",24.616667,79.933333,"24.61666700_79.93333300"
"25.13472200_102.27444400",25.134722,102.274444,"25.13472200_102.27444400"
"27.16666700_-81.35000000",27.166667,-81.35,"27.16666700_-81.35000000"
"27.17000000_-81.35000000",27.17,-81.35,"27.17000000_-81.35000000"
"28.73000000_-81.48000000",28.73,-81.48,"28.73000000_-81.48000000"
"29.50000000_79.50000000",29.5,79.5,"29.50000000_79.50000000"
"30.00000000_-91.50000000",30,-91.5,"30.00000000_-91.50000000"
"30.10000000_-97.26666700",30.1,-97.266667,"30.10000000_-97.26666700"
"30.11000000_-97.26000000",30.11,-97.26,"30.11000000_-97.26000000"
"30.11222200_-97.26055600",30.112222,-97.260556,"30.11222200_-97.26055600"
"30.17000000_101.23000000",30.17,101.23,"30.17000000_101.23000000"
"30.50000000_-88.00000000",30.5,-88,"30.50000000_-88.00000000"
"30.65000000_-84.21000000",30.65,-84.21,"30.65000000_-84.21000000"
"30.68000000_-90.48000000",30.68,-90.48,"30.68000000_-90.48000000"
"30.68333300_-90.48333300",30.683333,-90.483333,"30.68333300_-90.48333300"
"31.16666700_-85.25000000",31.166667,-85.25,"31.16666700_-85.25000000"
"31.88333300_-109.35000000",31.883333,-109.35,"31.88333300_-109.35000000"
"31.93333300_-81.60000000",31.933333,-81.6,"31.93333300_-81.60000000"
"32.00555600_-109.35666700",32.005556,-109.356667,"32.00555600_-109.35666700"
"32.29000000_35.82000000",32.29,35.82,"32.29000000_35.82000000"
