"parameter","rhat","ess_bulk","ess_tail"
"r_effect.size.id[152,Intercept]",1.00015008893292,42712.9653073119,10668.1713391747
"r_effect.size.id[153,Intercept]",1.00011863120466,35220.6750811163,11614.6464649444
"r_effect.size.id[154,Intercept]",1.00053528109863,40156.3645537398,11429.4650277872
"r_effect.size.id[155,Intercept]",0.999949815618962,40224.2468027698,11073.3877024512
"r_effect.size.id[156,Intercept]",1.00057790007837,39145.7496016059,10561.7071614388
"r_effect.size.id[157,Intercept]",0.999916581177724,41076.451533636,11689.5524322327
"r_effect.size.id[158,Intercept]",1.00040274497041,42522.068017987,12056.2324772391
"r_effect.size.id[159,Intercept]",1.00010445155225,42744.125736502,10898.9027152834
"r_effect.size.id[160,Intercept]",1.00032083046049,40955.5729893717,10071.3337024227
"r_effect.size.id[161,Intercept]",1.00064979772425,39692.3724739271,11066.0833146621
"r_effect.size.id[162,Intercept]",1.00006603355608,36874.5129576737,12274.9654576812
"r_effect.size.id[163,Intercept]",1.00009021191725,39795.9444418816,11054.8039091772
"r_effect.size.id[164,Intercept]",1.00021170535618,38570.7078732571,11949.5044787347
"r_effect.size.id[165,Intercept]",1.00009064930588,41342.3291801525,10938.8104657704
"r_effect.size.id[166,Intercept]",1.00013577034424,38801.5281101515,12211.9781498628
"r_effect.size.id[167,Intercept]",1.00057925429696,40739.5481232433,11975.8203369969
"r_effect.size.id[168,Intercept]",1.00030251430988,38270.2455679877,10831.4324632633
"r_effect.size.id[169,Intercept]",1.00101714278996,37580.6515985841,10594.8119236141
"r_effect.size.id[170,Intercept]",1.00001272539616,42293.6918484793,10453.7877432234
"r_effect.size.id[171,Intercept]",1.00035099911134,40541.6931068734,10823.4036385509
"r_effect.size.id[172,Intercept]",1.00091078847707,45146.1067392598,11411.6668288877
"r_effect.size.id[173,Intercept]",1.00011761701685,41890.7517038277,11285.9451212908
"r_effect.size.id[174,Intercept]",1.00064616937285,40371.664180372,10776.8421189192
"r_effect.size.id[175,Intercept]",1.00053458566308,41873.8379213042,10840.0684047507
"r_effect.size.id[176,Intercept]",1.00023808941391,41120.8659019872,11247.9948167529
"r_effect.size.id[177,Intercept]",1.00013249475956,42840.888688754,11177.3533580203
"r_effect.size.id[178,Intercept]",1.00079936189725,38645.2541414951,10771.97592024
"r_effect.size.id[179,Intercept]",1.00017497600254,42939.2267056257,10943.1889074937
"r_effect.size.id[180,Intercept]",1.00040547288816,38190.6388037884,11713.0353755491
"r_effect.size.id[181,Intercept]",1.00065763555317,38175.1767069919,12045.8130422204
