"rho","alpha","REML_logLik","AIC_nominal_fixed_rho","pooled_mean","pooled_se","ci_lb","ci_ub","study_variance","effect_size_variance","species_nonphylogenetic_variance","species_phylogenetic_variance","correlation_offdiag_mean","covariance_offdiag_mean","error","delta_REML_logLik_from_grid_max","within_95pct_LR_grid"
0.00407164407536966,245.601035230274,-182.104839022798,374.209678045596,0.33992799294532,0.0203605071000629,0.299995677962402,0.379860307928237,0.0167903535703712,0.0143095825154751,1.49271840325524e-09,0.084701570224167,0.000426780885877726,3.61490111755044e-05,NA,21.7265070714726,FALSE
0.00440300528776841,227.117601420559,-181.200253125995,372.40050625199,0.340293497718518,0.0204919182529468,0.300103450866574,0.380483544570462,0.0165413675022276,0.0143120026230756,1.49271820950535e-09,0.08498748390842,0.000494519763355262,4.2027990430551e-05,NA,20.8219211746696,FALSE
0.00476133355599275,210.025193202726,-180.256069776545,370.51213955309,0.34071974579836,0.0206374700843263,0.30024423348387,0.38119525811285,0.0162956811020682,0.0143145298773068,1.49271837578901e-09,0.0852804374779179,0.000569951449083011,4.86057089189724e-05,NA,19.8777378252195,FALSE
0.00514882353069183,194.219124823187,-179.277758294799,368.555516589598,0.341211041059647,0.0207984329750845,0.300419838137712,0.382002243981583,0.0160554263813033,0.0143171789317976,1.49271820257431e-09,0.0855815261232703,0.000653786231330188,5.59520234356189e-05,NA,18.8994263434734,FALSE
0.00556784846901539,179.602588965004,-178.271093770988,366.542187541977,0.341770823293893,0.0209762205868473,0.300630932056972,0.382910714530814,0.0158226068638687,0.014319907732621,1.49271831593894e-09,0.0858922043068952,0.000746823729594535,6.41463363635713e-05,NA,17.8927618196628,FALSE
0.00602097477008531,166.086063832789,-177.242036190008,364.484072380016,0.34240141368015,0.0211724223244464,0.300876719179366,0.383926108180933,0.0155989255229545,0.0143227312239544,1.49271802895935e-09,0.0862145730490437,0.000849958147836771,7.32787788253031e-05,NA,16.8637042386827,FALSE
0.00651097769340239,153.586764859186,-176.196602335429,362.393204670858,0.343103609267755,0.0213887872181909,0.301154566245307,0.385052652290204,0.0153858380640355,0.0143256606112376,1.49271781311173e-09,0.0865510237879289,0.00096417985870843,8.34507538869153e-05,NA,15.8182703841036,FALSE
0.00704085835645892,142.028137674812,-175.140738059624,360.281476119248,0.343876177767984,0.0216272276418528,0.301459490297608,0.386292865238359,0.015184630433463,0.0143287029401373,1.49271793324252e-09,0.0869041424223506,0.00109057296678063,9.47753084270695e-05,NA,14.7624061082983,FALSE
0.00761386211566209,131.339389236239,-174.080202404653,358.160404809305,0.344715236733446,0.0218898125136461,0.301783551195554,0.387646922271339,0.0149963729520559,0.014331877569319,1.49271789251781e-09,0.0872766941525426,0.00123030900952454,0.000107377303137391,NA,13.701870453327,FALSE
0.00823349844314578,121.455054240337,-173.020479107062,356.040958214124,0.345613579993383,0.0221787597902401,0.302115192771407,0.389111967215359,0.0148218578910512,0.0143352070048466,1.49271776871499e-09,0.0876717150504733,0.0013846375491233,0.000121393548654924,NA,12.6421471557362,FALSE
0.00890356242121006,112.314594169386,-171.966735388299,353.933470776598,0.346559969218186,0.0224963819142393,0.302438641386786,0.390681297049585,0.0146619406320276,0.0143387196390456,1.49271750220309e-09,0.0880918731408324,0.00155487499659137,0.000136971850949579,NA,11.5884034369735,FALSE
0.00962815798603539,103.862026511238,-170.923851319356,351.847702638711,0.347538742889791,0.0228450842689633,0.302733517933645,0.392343967845938,0.0145173100969606,0.0143424379419207,1.49271712746307e-09,0.088539988616357,0.00174239348446625,0.000154271499279856,NA,10.54551936803,FALSE
0.0104117230630319,96.0455818836194,-169.896541096053,349.793082192105,0.348529703505475,0.0232272830470943,0.302974886119268,0.394084520891683,0.0143887743956175,0.0143463815796582,1.49271824286618e-09,0.089018408861817,0.00194861186290633,0.000173462327525182,NA,9.51820914472705,FALSE
0.0112590567477703,88.8173869625476,-168.889573407843,347.779146815687,0.349508762752305,0.0236454403916413,0.303133828720043,0.395883696784567,0.0142774120551195,0.0143505081633841,1.49271802114209e-09,0.0895298336361603,0.0021749908691145,0.000194726570671989,NA,8.51124145651784,FALSE
0.0121753486989692,82.1331712729235,-167.908066915631,345.816133831262,0.350448900885556,0.024101735128809,0.303179052739413,0.3977187490317,0.0141842622562146,0.0143549203005562,1.49271716292165e-09,0.090075014241727,0.00242303420820555,0.000218254840812306,NA,7.52973496430559,FALSE
0.0131662109235613,75.9519960454587,-166.957793351901,343.915586703802,0.351322600536903,0.0245984458029899,0.303078571983597,0.399566629090209,0.0141110589795974,0.0143595057674781,1.49271714079143e-09,0.0906568068205673,0.00269429675782692,0.000244256340691596,NA,6.57946140057538,FALSE
0.0142377121485137,70.2360034792803,-166.045383519247,342.090767038494,0.352103735648297,0.0251374738962605,0.302802531087569,0.401404940209024,0.0140596596255519,0.0143642561493999,1.4927171233313e-09,0.0912767138341497,0.00299040050121967,0.000272953930799326,NA,5.66705156792148,FALSE
0.0153964149899176,64.9501848745215,-165.178327648848,340.356655297697,0.352770077145255,0.0257204739780619,0.302325455930554,0.403214698359956,0.0140322267999372,0.0143691364249462,1.49271681005209e-09,0.0919366233542537,0.00331305824741341,0.00030459138824315,NA,4.79999569752283,FALSE
0.0166494161469969,60.0621662147817,-164.364708383747,338.729416767495,0.353305112555892,0.0263489069357298,0.301627968855975,0.40498225625581,0.0140309111980945,0.0143740925206151,1.4927175173248e-09,0.0926395678734713,0.00366410480632654,0.0003394410859012,NA,3.98637643242171,FALSE
0.0180043898672132,55.5420098862135,-163.612691547443,337.225383094886,0.353698759136539,0.0270240076908499,0.300697565113799,0.406699953159278,0.0140579041867425,0.0143790490921416,1.49271759748755e-09,0.0933889295800652,0.00404553505315643,0.000377808188192911,NA,3.23435959611732,FALSE
0.0194696349486753,51.3620313188275,-162.929887187561,335.859774375123,0.353947279290557,0.027746980550013,0.299528145145093,0.408366413436022,0.0141147159023555,0.0143840052176478,1.49271743709958e-09,0.094189480793605,0.00445954816221142,0.000420042525972768,NA,2.55155523623591,FALSE
0.0210541255677304,47.4966294269993,-162.322736635793,334.645473271586,0.35405211569516,0.0285189901806202,0.298118867407658,0.409985363982662,0.0142028948830388,0.0143888863967642,1.49271758338446e-09,0.0950455466310173,0.0049085971214842,0.000466540296602904,NA,1.94440468446726,FALSE
0.0227675662430393,43.9221298106789,-161.796061618434,333.592123236868,0.354018719564798,0.0293414785999567,0.296472354940393,0.411565084189203,0.014323261329417,0.0143936657949017,1.4927181079359e-09,0.0959624756495454,0.00539544243284486,0.000517760013080399,NA,1.41772966710846,TRUE
0.0246204512727745,40.6166397569573,-161.352846312359,332.705692624718,0.353855016825287,0.0302161318968261,0.294593226805051,0.413116806845522,0.0144762805052418,0.0143983171402039,1.4927178339836e-09,0.0969447759814512,0.00592320875367587,0.000574224145716478,NA,0.974514361033357,TRUE
0.026624129008975,37.5599141539203,-160.994249773372,331.988499546744,0.353570325095609,0.0311450749311717,0.292486633210829,0.414654016980389,0.0146621492269092,0.014402842084184,1.49271852364607e-09,0.0979964917948457,0.00649544331632437,0.000636530657652066,NA,0.615917822046526,TRUE
0.0287908713627192,34.7332314955526,-160.719794991017,331.439589982035,0.353174398168437,0.03213091170153,0.290157220823682,0.416191575513192,0.0148809573858982,0.0144071905293708,1.4927184350177e-09,0.0991206688067595,0.00711617539450003,0.000705360064449049,NA,0.341463039691916,TRUE
