"value","parameter","panel"
-0.101741,"Pooled mean (Hedges' d)","Fixed effect"
-0.138759,"Pooled mean (Hedges' d)","Fixed effect"
-0.202824,"Pooled mean (Hedges' d)","Fixed effect"
-0.24063,"Pooled mean (Hedges' d)","Fixed effect"
0.00974709,"Pooled mean (Hedges' d)","Fixed effect"
-0.0223417,"Pooled mean (Hedges' d)","Fixed effect"
-0.494191,"Pooled mean (Hedges' d)","Fixed effect"
-0.187648,"Pooled mean (Hedges' d)","Fixed effect"
-0.325216,"Pooled mean (Hedges' d)","Fixed effect"
-0.051981,"Pooled mean (Hedges' d)","Fixed effect"
-0.0917094,"Pooled mean (Hedges' d)","Fixed effect"
-0.0837908,"Pooled mean (Hedges' d)","Fixed effect"
-0.104146,"Pooled mean (Hedges' d)","Fixed effect"
-0.30623,"Pooled mean (Hedges' d)","Fixed effect"
-0.156625,"Pooled mean (Hedges' d)","Fixed effect"
-0.196149,"Pooled mean (Hedges' d)","Fixed effect"
0.0333949,"Pooled mean (Hedges' d)","Fixed effect"
0.0388553,"Pooled mean (Hedges' d)","Fixed effect"
-0.231232,"Pooled mean (Hedges' d)","Fixed effect"
-0.154685,"Pooled mean (Hedges' d)","Fixed effect"
-0.294934,"Pooled mean (Hedges' d)","Fixed effect"
-0.201195,"Pooled mean (Hedges' d)","Fixed effect"
-0.295236,"Pooled mean (Hedges' d)","Fixed effect"
-0.355343,"Pooled mean (Hedges' d)","Fixed effect"
-0.0487527,"Pooled mean (Hedges' d)","Fixed effect"
0.0816201,"Pooled mean (Hedges' d)","Fixed effect"
0.101539,"Pooled mean (Hedges' d)","Fixed effect"
-0.125191,"Pooled mean (Hedges' d)","Fixed effect"
0.239223,"Pooled mean (Hedges' d)","Fixed effect"
-0.0260874,"Pooled mean (Hedges' d)","Fixed effect"
-0.0363301,"Pooled mean (Hedges' d)","Fixed effect"
-0.0918164,"Pooled mean (Hedges' d)","Fixed effect"
-0.33865,"Pooled mean (Hedges' d)","Fixed effect"
-0.381816,"Pooled mean (Hedges' d)","Fixed effect"
-0.479686,"Pooled mean (Hedges' d)","Fixed effect"
-0.429053,"Pooled mean (Hedges' d)","Fixed effect"
0.180397,"Pooled mean (Hedges' d)","Fixed effect"
