Pub_1st_author,Pub_year,Analysis_1,Analysis_2,Analysis_3,Analysis_4,Nutrient_Analyses,Effect_size (natural log response ratio of mean inoculated plant mass over mean non-inoculated plant mass),Estimated_variance (inverse of summed replicates of inoculated and non-inoculated plants),"N-fertilization (0=not fertilized with N, 1=fertilized with N)","P-fertilization (0=not fertilized with P, 1=fertilized with P)","Fertilization (N only, P only, neither, or both)",Location (lab or field),MycorrhizaType (AM or EM),"InoculumComplexity (Single species, multiple species, or whole soil inoculum)",PlantGenus,PlantSpecificEpithet,PlantFamily,PlantFunctionalGroup,FungalGenus,MicrobeControl,Sterility,Plant_tissue_N:P_ratio
Waceke,2002,Yes,Yes,Yes,No,No,-0.380501256,0.083333333,1,1,both,lab,AM,Single,Chrysanthemum,cinerariefolium,Asteraceae,non-N-fixing forb,Glomus,Unknown,sterile,
Waceke,2002,Yes,Yes,Yes,No,No,-0.191331724,0.083333333,1,1,both,lab,AM,Single,Chrysanthemum,cinerariefolium,Asteraceae,non-N-fixing forb,Glomus,Unknown,sterile,
Waceke,2002,Yes,Yes,Yes,No,No,-0.180369067,0.083333333,1,1,both,lab,AM,Single,Chrysanthemum,cinerariefolium,Asteraceae,non-N-fixing forb,Glomus,Unknown,sterile,
Waceke,2002,Yes,Yes,Yes,No,No,-0.168686805,0.083333333,1,1,both,lab,AM,Single,Chrysanthemum,cinerariefolium,Asteraceae,non-N-fixing forb,Glomus,Unknown,sterile,
Walker,2001,Yes,No,Yes,No,Yes,-0.102779869,0.1,0,0,neither,lab,EM,Single,Pinus,lambertiana,Pinaceae,non-N-fixing woody,Pisolithus,none,sterile,2.935483871
Walker,2001,Yes,No,Yes,No,Yes,0.012195273,0.1,0,0,neither,lab,EM,Single,Pinus,lambertiana,Pinaceae,non-N-fixing woody,Pisolithus,none,sterile,4.674418605
Walker,2001,Yes,No,Yes,No,Yes,0.052643733,0.1,0,0,neither,lab,EM,Single,Pinus,lambertiana,Pinaceae,non-N-fixing woody,Pisolithus,none,sterile,8.5
Walker,2001,Yes,No,Yes,No,Yes,-0.144581229,0.1,0,0,neither,lab,EM,Single,Pinus,lambertiana,Pinaceae,non-N-fixing woody,Pisolithus,none,sterile,9.117647059
Walker,2001,Yes,No,Yes,No,Yes,-0.196710294,0.1,0,0,neither,lab,EM,Single,Pinus,lambertiana,Pinaceae,non-N-fixing woody,Pisolithus,none,sterile,9.842105263
Walker,2001,Yes,No,Yes,No,Yes,-0.036943515,0.1,0,0,neither,lab,EM,Single,Pinus,lambertiana,Pinaceae,non-N-fixing woody,Pisolithus,none,sterile,11.21428571
Walker,2001,Yes,No,Yes,No,Yes,-0.037740328,0.1,0,0,neither,lab,EM,Single,Pinus,lambertiana,Pinaceae,non-N-fixing woody,Pisolithus,none,sterile,11.75
Walker,2001,Yes,No,Yes,No,Yes,-0.147100122,0.1,0,0,neither,lab,EM,Single,Pinus,lambertiana,Pinaceae,non-N-fixing woody,Pisolithus,none,sterile,16.6
Walker,2001,Yes,No,Yes,No,Yes,-0.413370288,0.1,0,0,neither,lab,EM,Single,Pinus,lambertiana,Pinaceae,non-N-fixing woody,Pisolithus,none,sterile,18.18181818
Walker,2001,Yes,No,Yes,No,Yes,-0.074963038,0.1,0,0,neither,lab,EM,Single,Pinus,lambertiana,Pinaceae,non-N-fixing woody,Pisolithus,none,sterile,20.5
Wallander,1997,Yes,No,Yes,No,No,-0.232622295,0.5,1,1,both,lab,EM,Single,Pinus,sylvestris,Pinaceae,non-N-fixing woody,Paxillus,none,Unknown,
Wallander,2000,Yes,No,Yes,No,No,1.85629799,0.5,1,1,both,lab,EM,Single,Pinus,sylvestris,Pinaceae,non-N-fixing woody,Suillus,none,Unknown,
Wallander,2000,Yes,No,Yes,No,No,0.426408282,0.5,1,1,both,lab,EM,Single,Pinus,sylvestris,Pinaceae,non-N-fixing woody,Suillus,none,Unknown,
Waterer,1989,Yes,Yes,Yes,No,No,0.130691413,0.041666667,1,0,N_only,lab,AM,Single,Lactuca,sativa,Asteraceae,non-N-fixing forb,Glomus,microbial wash,Unknown,
Waterer,1989,Yes,Yes,Yes,No,No,0.056856025,0.041666667,1,0,N_only,lab,AM,Single,Lactuca,sativa,Asteraceae,non-N-fixing forb,Glomus,microbial wash,Unknown,
Weissenhorn,1995,Yes,Yes,Yes,No,No,0.00806456,0.1,1,1,both,field,AM,Single,Zea,mays,Poaceae,C4 grass,Glomus,none,sterile,
Weissenhorn,1995,Yes,Yes,Yes,Yes,No,0.304962186,0.1,1,1,both,lab,AM,Single,Zea,mays,Poaceae,C4 grass,Glomus,microbial wash,sterile,
Yamanaka,2003,Yes,No,Yes,No,No,0.684097345,0.05,0,0,neither,lab,EM,Single,Alnus,tenuifolia,Betulaceae,N-fixing woody,Alpova,none,Unknown,
Yamanaka,2003,Yes,No,Yes,No,No,-0.223143551,0.05,0,0,neither,lab,EM,Single,Alnus,tenuifolia,Betulaceae,N-fixing woody,Alpova,none,Unknown,
Yamanaka,2003,Yes,No,Yes,No,No,0.293761119,0.05,0,0,neither,lab,EM,Single,Alnus,tenuifolia,Betulaceae,N-fixing woody,Alpova,none,Unknown,
Yamanaka,2003,Yes,No,Yes,No,No,0.916290732,0.05,0,0,neither,lab,EM,Single,Alnus,tenuifolia,Betulaceae,N-fixing woody,Alpova,none,Unknown,
Yamanaka,2003,Yes,No,Yes,No,No,-0.510825624,0.05,0,0,neither,lab,EM,Single,Alnus,tenuifolia,Betulaceae,N-fixing woody,Alpova,none,Unknown,
Yamanaka,2003,Yes,No,Yes,No,No,0,0.05,0,0,neither,lab,EM,Single,Alnus,tenuifolia,Betulaceae,N-fixing woody,Alpova,none,Unknown,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
