"","37.06000000_-6.66000000","38.37000000_-1.61000000","38.42972200_-1.75916700","38.48000000_-1.83000000","38.67000000_-0.57000000","39.20000000_-0.91666700","39.75000000_-0.71666700","40.18000000_0.10000000","40.19314100_-5.00000000","40.38305600_-5.11555600","41.28333300_1.90000000","41.29346100_1.87723500","41.68000000_2.22000000","41.70000000_1.91666700","41.75000000_1.98333300","41.77000000_2.86000000","41.97000000_1.41000000","42.00000000_1.56666700","42.13000000_-7.44000000","42.15000000_-6.25000000","42.15000000_1.63000000","42.19000000_-4.23000000","42.22500000_-6.56222200","42.23000000_-6.77000000","42.25000000_-6.20000000","42.26000000_-8.86000000","42.31666700_-6.21666700","42.42000000_-1.25000000","42.73333300_-7.90000000","42.95000000_-9.10000000","43.50000000_-8.63333300","44.55555600_-0.11111100"
"41.28333300_1.90000000",874.732691031907,441.083603630837,445.026143590785,445.304397377746,358.440102937552,332.773879007369,279.302162043676,195.08812684909,594.54033571243,599.400114582317,0,2.21208288021781,51.4866050069598,46.2603082175612,52.2531136506315,96.5731067565258,86.4431320184219,84.2398416732479,782.087206558966,684.26524544537,98.7751248024319,519.324033029321,710.729366577716,727.846526453978,681.305283161008,899.993507304913,683.535637005024,290.24103486815,826.691113682757,927.170175638178,900.611042224391,398.878593699254
"41.29346100_1.87723500",873.632576122232,440.572824793558,444.447173680653,444.685589084881,358.20476508056,332.15649007578,278.452703341482,194.299755785437,592.848209898885,597.6548886123,2.21208288021781,0,51.5571655029423,45.2353496047983,51.4318435333331,97.5335473502729,84.563948598967,82.5660037194998,780.017175532355,682.184634661022,97.2630431608117,517.213411903465,708.642568413732,725.760862415302,679.212331042966,897.917023151013,681.43524309975,288.033741216951,824.56653400788,925.038521780871,898.441851996819,397.086685343129
"41.68000000_2.22000000",919.982813131309,491.406621288794,494.997421504187,495.047934608436,409.705227346241,382.573998203707,327.55208792152,243.96004543377,629.279397577017,632.699185455991,51.4866050069598,51.5571655029423,0,25.3317675238224,21.158862118708,54.1428328469073,74.5527512076909,64.8239990952583,802.155299864584,703.884363575418,71.5147112578776,537.454654924151,729.898037649374,747.051551567047,700.140736802022,919.487297990929,701.866850121153,298.596732593423,842.968934972255,942.727754961673,912.606990738545,371.583620995704
"41.70000000_1.91666700",899.627995017838,476.310620288784,479.311295397206,479.024079433451,397.176758712677,366.83504054404,310.153667183036,227.595867264194,605.233187582101,608.373369727923,46.2603082175612,45.2353496047983,25.3317675238224,0,7.8435077022416,78.8061807971598,51.6421594732059,44.1867389904989,776.833440056842,678.56661052787,55.3145753328558,512.159606449746,704.590761563085,721.744267222528,674.840089551762,894.179943127979,676.580997702482,273.86587523131,817.786132223277,917.597605074772,887.768769066508,357.629513923456
"41.75000000_1.98333300",907.272986824831,484.12870628058,487.144668252196,486.863156346087,404.853510065113,374.66702616877,317.993869574273,235.433941496162,611.950278519288,614.932756033413,52.2531136506315,51.4318435333331,21.158862118708,7.8435077022416,0,72.8864105553419,53.4740386615512,44.3259460032247,781.728374373175,683.43162946067,53.1849691548747,516.902333679382,709.387755728798,726.540777028781,679.602745796271,898.972640045275,681.275988172574,277.508873587382,822.164524297668,921.85683907478,891.541490903555,355.253293167885
"41.77000000_2.86000000",971.008008314177,536.021188032633,540.432236989345,540.950519889213,450.910069820677,428.474141505862,375.814832978006,291.506911008237,683.391838584754,686.841960811771,96.5731067565258,97.5335473502729,54.1428328469073,78.8061807971598,72.8864105553419,0,122.327042849585,110.270099469073,853.936274500963,755.606895936165,110.289715106646,588.9181395635,781.448501508032,798.597815044576,751.610793940875,970.999655252473,753.164295324339,347.359305253773,893.37024357089,992.756473743613,961.107379194203,392.653212854477
"41.97000000_1.41000000",881.342937240045,474.915527649822,476.352713448474,475.170366716695,402.874109349823,364.914816364731,304.554785365978,227.035621301506,572.978824851926,574.563618226277,86.4431320184219,84.563948598967,74.5527512076909,51.6421594732059,53.4740386615512,122.327042849585,0,13.3955323458538,732.131501928862,633.785435278552,27.0275281724296,466.983453394065,659.504409815241,676.647183322343,629.626096107314,848.999181771677,631.088647665708,225.197141534918,771.050167215662,870.435286425319,839.17735982689,312.753591800788
"42.00000000_1.56666700",893.855658925656,484.981927824903,486.681644087112,485.644129892252,411.569305242102,374.951571173312,315.101225018901,236.512848035884,586.348740579252,587.955938354165,84.2398416732479,82.5660037194998,64.8239990952583,44.1867389904989,44.3259460032247,110.270099469073,13.3955323458538,0,744.831630679342,646.485236776485,17.4560202029019,479.648565680479,672.147023750726,689.285435535803,642.250016963508,861.602898716004,643.659706014606,237.09498997586,783.327818653568,882.591128773844,850.876296858879,314.971878281347
"42.13000000_-7.44000000",566.588829489485,647.571239362297,633.462324366576,625.135705900032,697.483447017627,639.611835442868,624.060911544779,668.079573541333,296.721233146724,274.689917189434,782.087206558966,780.017175532355,802.155299864584,776.833440056842,781.728374373175,853.936274500963,732.131501928862,744.831630679342,0,98.3467165200823,749.071516151612,265.210785404894,73.246938713277,56.4270102266095,103.237854150226,118.111353617806,103.052594881927,511.298493243342,76.9404837020273,163.932040932437,180.772056689098,652.450833058387
"42.15000000_-6.25000000",565.939096006964,575.551863464725,561.954970578847,553.684560000037,617.136155138749,556.703202572148,536.132155789358,575.418023853547,241.105373749216,217.862796442794,684.26524544537,682.184634661022,703.884363575418,678.56661052787,683.43162946067,755.606895936165,633.785435278552,646.485236776485,98.3467165200823,0,650.760335809721,166.879361699573,27.0896710588282,43.8406763757687,11.8444106293479,215.772657611392,18.7070732705781,413.239285239173,150.36590431563,250.289543118782,245.869860158864,564.918784014926
