"","37.06000000_-6.66000000","38.37000000_-1.61000000","38.42972200_-1.75916700","38.48000000_-1.83000000","38.67000000_-0.57000000","39.20000000_-0.91666700","39.75000000_-0.71666700","40.18000000_0.10000000","40.19314100_-5.00000000","40.38305600_-5.11555600","41.28333300_1.90000000","41.29346100_1.87723500","41.68000000_2.22000000","41.70000000_1.91666700","41.75000000_1.98333300","41.77000000_2.86000000","41.97000000_1.41000000","42.00000000_1.56666700","42.13000000_-7.44000000","42.15000000_-6.25000000","42.15000000_1.63000000","42.19000000_-4.23000000","42.22500000_-6.56222200","42.23000000_-6.77000000","42.25000000_-6.20000000","42.26000000_-8.86000000","42.31666700_-6.21666700","42.42000000_-1.25000000","42.73333300_-7.90000000","42.95000000_-9.10000000","43.50000000_-8.63333300","44.55555600_-0.11111100"
"41.28333300_1.90000000",875.148918189915,441.424455035318,445.374680482056,445.656910444097,358.73405311606,333.067883430699,279.558942984505,195.268862957087,595.089668441793,599.951462204613,0,2.2139811233679,51.5280371581054,46.2973885670484,52.2945726644302,96.6493897761821,86.5083562514194,84.3029273429622,782.634385338717,684.745010904304,98.8461519650783,519.68783740108,711.215028354762,728.342331770867,681.768210354299,900.589746187869,683.989654690008,290.431619145801,827.144581714253,927.612036299876,900.879718353629,398.845701168726
"41.29346100_1.87723500",874.048956949466,440.913398322865,444.795361036011,445.037704847096,358.498568846811,332.449903667094,278.70858935607,194.479640579979,593.395585391774,598.204178657739,2.2139811233679,0,51.5985821514344,45.2715446369168,51.4725770704072,97.610446972812,84.6276243089681,82.6277069327424,780.561649289744,682.661840061349,97.3328234570256,517.574895157741,709.125633776122,726.254045833716,679.672707147059,898.510375305217,681.886711074754,288.222371125911,825.017270137141,925.47750957478,898.70784609345,397.052802577469
"41.68000000_2.22000000",920.446388507708,491.788201722611,495.386334731889,495.440553667163,410.040367389541,382.907084856767,327.845383736793,244.178132801052,629.838776353878,633.256455319362,51.5280371581054,51.5985821514344,0,25.3504742496412,21.1742938548269,54.182113514249,74.6038812672044,64.8680529838668,802.654261726647,704.323784801806,71.5609620120917,537.790312967673,730.339329341592,747.501389746421,700.561208841992,920.021101038889,702.276657817313,298.769231440982,843.354713281184,943.085645836974,912.78058154243,371.507310144487
"41.70000000_1.91666700",900.081053624002,476.680252877834,479.687630135128,479.403715624063,397.501392988054,367.154021300674,310.430902997216,227.798882414271,605.770143279571,608.908100656845,46.2973885670484,45.2715446369168,25.3504742496412,0,7.84919958425663,78.8630544599557,51.6773820681304,44.2165987315699,777.314799958961,678.988461907213,55.350128180192,512.477942593273,705.01493503273,722.177030242484,675.243574190446,894.697114351522,676.974224283064,274.023076275945,818.158323298613,917.943826460478,887.935322321021,357.553984378825
"41.75000000_1.98333300",907.732070927424,484.50404238595,487.526710816372,487.248498853769,405.183813739768,374.99174474341,318.276755070876,235.642688381721,612.489700441552,615.469425834991,52.2945726644302,51.4725770704072,21.1742938548269,7.84919958425663,0,72.9383301764696,53.5099801719333,44.3554569204717,782.204007283693,683.848926978657,53.2186013110688,517.217960876148,709.806775992639,726.96814909663,680.001363012703,899.48198410259,681.664085016448,277.665039653807,822.528080916207,922.192009071356,891.695232488293,355.172291116086
"41.77000000_2.86000000",971.503483170375,536.43689134312,540.856160066804,541.378716785422,451.277785758662,428.844978767022,376.148372099019,291.764611066939,683.991643239957,687.438440992988,96.6493897761821,97.610446972812,54.182113514249,78.8630544599557,72.9383301764696,0,122.408704658825,110.343016285398,854.447158471998,756.06114965662,110.358944332639,589.272913099362,781.902403107875,799.059594807719,752.044393221081,971.538548056409,753.585930706296,347.552426725249,893.754278383279,993.103484676224,961.258334215265,392.560016286523
"41.97000000_1.41000000",881.792849275972,475.280488615556,476.722729153831,475.542637281851,403.198845137476,365.225391664512,304.819152591544,227.230958848247,573.468586866178,575.048563516147,86.5083562514194,84.6276243089681,74.6038812672044,51.6773820681304,53.5099801719333,122.408704658825,0,13.4038221857653,732.542628651353,634.142563777372,27.0433045469385,467.246335240626,659.862392451568,677.012782136753,629.965085635898,849.439246784908,631.417333725644,225.312441784969,771.350223846831,870.703722875567,839.271061564673,312.658781357988
"42.00000000_1.56666700",894.312871880471,485.354043901986,487.059053075947,486.023937734905,411.900360021575,375.269741952868,315.373675775283,236.715382387404,586.847338893299,588.449385678362,84.3029273429622,82.6277069327424,64.8680529838668,44.2165987315699,44.3554569204717,110.343016285398,13.4038221857653,0,745.243745377177,646.84429915071,17.4660871766623,479.91482366542,672.50631122432,689.652132098725,642.590503715642,862.041947111922,643.989548305717,237.214535124942,783.625237545879,882.85436646095,850.961870480645,314.872896677175
"42.13000000_-7.44000000",566.872179839072,648.064640630094,633.949740242444,625.620526248411,698.039106107026,640.146020157009,624.588305568466,668.634026856842,296.969520776122,274.916680146741,782.634385338717,780.561649289744,802.654261726647,777.314799958961,782.204007283693,854.447158471998,732.542628651353,745.243745377177,0,98.4002840028625,749.457408813356,265.351707340764,73.2854551093255,56.4566157192957,103.291442326092,118.172332695194,103.104272822622,511.533110651418,76.9698291045017,163.982927401815,180.792203467577,652.19363944141
"42.15000000_-6.25000000",566.222173497598,575.989357840132,562.386375454958,554.113002971029,617.626737719796,557.167336875001,536.584640666506,575.895243553481,241.306553749149,218.042099980106,684.745010904304,682.661840061349,704.323784801806,678.988461907213,683.848926978657,756.06114965662,634.142563777372,646.84429915071,98.4002840028625,0,651.097105975816,166.967567573326,27.1037849388297,43.8634579881875,11.8505049494914,215.88256707297,18.7163679763719,413.428861947264,150.422250642584,250.365170960838,245.895151933073,564.697529972718
