species,slope,slope_SE,mass_f,id_population,id_species,broods,migr2,meanFED,meanFED_SE,duration,duration_SE,losses,losses_SE,clutch,clutch_se,t1_slope,t2_slope,t4_slope
Parus_caeruleus,0.00922,0.01031,13.3,49,30,0,0,-0.194,0.058,0.124,0.062,-0.22,0.133,-0.019978821,0.009971039,0.037728022,0.073498226,0.03848554
Parus_caeruleus,-0.0081,0.01025,13.3,50,30,1,0,-0.159,0.038,0.13,0.044,-0.018,0.086,0.021953197,0.009804533,0.035198413,0.065770975,0.042933673
Cygnus_columbianus,-0.049,0.08934,5700,51,31,0,1,-0.067,0.457,0.2,0.501,0.532,1.524,-0.143691015,0.077162182,-0.213547859,-0.18476149,-0.031127383
Delichon_urbicum,-0.0923,0.02641,14.5,52,32,1,1,-0.055,0.26,-1.898,0.462,NA,NA,-0.021932364,0.036971187,-0.04390559,0.045016797,0.065933758
Diomedea_exulans,0.02975,0.01481,6900,53,33,0,1,-0.036,0.015,-0.041,0.06,-0.001,0.001,NA,NA,0.030841575,0.031738013,0.023067945
Falco_naumanni,0.10082,0.05778,164,54,34,0,1,-0.221,0.163,-0.439,0.364,-0.775,0.418,-0.102043988,0.051162101,-0.035357143,0.007857143,-0.03495098
Falco_tinnunculus,-0.0482,0.02966,217,55,35,0,1,-0.089,0.188,-0.415,0.38,0.263,0.283,-0.051090754,0.029428711,-0.107565217,0.027782609,0.024057971
Ficedula_albicollis,0.02597,0.04032,10.3,56,36,0,1,-0.069,0.131,0.546,0.369,0.051,0.281,0.037261421,0.039722321,0.038181818,0.006168831,0.021623377
Ficedula_albicollis,0.02801,0.04768,10.3,57,36,0,1,-0.087,0.135,0.104,0.23,-0.635,0.702,0.089691817,0.042651993,-0.004024768,-0.031424149,0.006862745
Ficedula_albicollis,0.06252,0.01423,11.6,58,36,0,1,-0.2004,0.044,-0.072,0.121,0.174,0.187,0.004648065,0.018000005,0.048198428,0.063725388,0.048645042
Ficedula_hypoleuca,0.02916,0.01728,11.6,59,37,0,1,-0.207,0.063,0.209,0.113,-0.347,0.241,-0.001669842,0.018051116,-0.008347657,0.053391971,0.060876755
Ficedula_hypoleuca,0.00256,0.02567,11.6,60,37,0,1,-0.2,0.07,0.468,0.194,-0.214,0.251,0.014811474,0.025506185,0.037010513,0.080775519,0.030263797
Ficedula_hypoleuca,-0.0146,0.015,11.6,61,37,0,1,-0.113,0.05,0.192,0.094,0.209,0.103,0.016266462,0.014954942,0.036884555,0.042792263,0.028506234
Ficedula_hypoleuca,0.0152,0.01007,11.6,62,37,0,1,-0.215,0.028,0.132,0.059,0.051,0.125,0.041217185,0.008380758,0.073498226,0.057966109,0.039943311
Ficedula_hypoleuca,-0.0023,0.02377,11.6,63,37,0,1,-0.262,0.081,0.82,0.186,0.108,0.17,0.039414594,0.022486862,0.051000847,0.066417356,0.002421788
Ficedula_hypoleuca,0.0382,0.0202,11.6,64,37,0,1,-0.038,0.08,0.38,0.121,-0.611,0.253,0.017870719,0.021265522,0.105596612,-0.09715934,0.053691398
Ficedula_hypoleuca,0.04875,0.07444,11.6,65,37,0,1,-0.181,0.247,-0.53,0.757,-0.488,0.822,0.069555266,0.072577403,0.070343137,0.044362745,0.016421569
Ficedula_hypoleuca,-0.0347,0.02083,11.6,66,37,0,1,-0.14,0.115,-0.061,0.1,-0.028,0.081,-0.012410262,0.021707594,-0.02817734,0.073694581,0.010270936
Fratercula_arctica,-0.0589,0.01749,381,67,38,0,1,NA,NA,NA,NA,0.924,0.277,NA,NA,0.068746286,0.058810797,0.051591546
Fratercula_cirrhata,0.03169,0.03236,779,68,39,0,1,0.097,0.195,0.499,0.501,-0.944,0.964,NA,NA,0.02431928,0.031236276,0.036542966
Fratercula_cirrhata,-0.0076,0.02179,779,69,39,0,1,-0.316,0.198,0.534,0.458,0.173,0.496,NA,NA,0.018180695,0.023606476,0.024920694
Fratercula_cirrhata,0.01088,0.02975,779,70,39,0,1,0.096,0.143,-0.385,0.231,-0.279,0.762,NA,NA,0.019663452,0.010457463,0.011722443
Fratercula_cirrhata,-0.0194,0.01996,779,71,39,0,1,-0.088,0.106,0.051,0.13,0.44,0.449,NA,NA,0.018914956,0.026548754,0.035153959
Fratercula_corniculata,0.04349,0.04588,619,72,40,0,0,NA,NA,NA,NA,-0.913,0.964,NA,NA,0.082706767,0.038596491,0.054831523
Fratercula_corniculata,0.01852,0.02155,619,73,40,0,0,0.291,0.074,0.157,0.216,-0.362,0.421,NA,NA,0.018180695,0.023606476,0.024920694
Fratercula_corniculata,-0.0129,0.02929,619,74,40,0,0,-0.098,0.121,-0.106,0.179,0.315,0.715,NA,NA,0.019663452,0.010457463,0.011722443
Fratercula_corniculata,-0.0036,0.02031,619,75,40,0,0,0.064,0.073,0.079,0.139,0.243,0.442,NA,NA,0.018914956,0.034182551,0.035153959
Fulmarus_glacialis,-0.0145,0.01014,479,76,41,0,1,NA,NA,NA,NA,0.192,0.132,NA,NA,0.032600907,0.014369615,0.022078231
Gypaetus_barbatus,-0.0835,0.02309,5680,77,42,0,0,-0.18,0.336,0.076,0.377,0.676,0.364,-0.06779558,0.037623092,0.07750258,-0.074097007,-0.047574819
Gypaetus_barbatus,-0.0085,0.05266,5680,78,42,0,0,NA,NA,NA,NA,0.146,0.878,NA,NA,-0.002205882,0.032352941,-0.021650327
Haematopus_bachmani,0.07594,0.03364,689,79,43,0,0,-0.045,0.168,-0.159,0.202,-1.024,0.738,0.021873333,0.037552969,0.014935065,0.046320346,0.028679654
Haematopus_ostralegus,-0.0584,0.01883,526,80,44,0,1,-0.108,0.062,-0.338,0.134,0.358,0.113,-0.02501302,0.021316085,0.031064624,0.087075269,0.05177092
Hirundo_rustica,-0.0474,0.01513,15.8,81,45,1,1,-0.221,0.075,0.373,0.343,-0.088,0.043,-0.001019554,0.017235343,0.066249045,0.027674561,0.039373568
Hirundo_rustica,0.11145,0.05633,15.8,82,45,1,1,0.016,0.314,-0.249,0.575,0.897,0.956,NA,NA,-0.133081285,-0.052930057,0.006389414
Jynx_torquilla,0.1185,0.04291,37,83,46,1,1,-0.071,0.262,0.211,0.481,-0.951,0.486,NA,NA,0.086519608,0.033823529,0.053594771
Lamprotornis_superbus,-0.0806,0.04842,59.2,84,47,1,0,0.076,0.787,3.125,2.569,0.894,0.343,-0.10928421,0.044514887,0.0413,0.1037,0.0499
Larus_canus,-0.052,0.01527,375,85,48,0,1,-0.26,0.044,0.555,0.123,0.87,0.248,-0.036752211,0.017248418,0.047850708,0.051801802,0.058867439
Larus_crassirostris,0.0696,0.05148,494,86,49,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.01495098,0.009313725,0.024664603
Larus_glaucescens,-0.0748,0.02856,1010,87,50,0,1,-0.237,0.251,0.415,0.143,2.507,0.976,-0.063245771,0.029862578,0.02431928,0.027777778,0.031956522
Larus_glaucescens,0.02894,0.03877,1010,88,50,0,1,-0.707,0.261,0.909,0.245,-0.669,1.028,0.06004463,0.036293238,0.014818182,0.046233766,0.029220779
Larus_glaucescens,0.0996,0.04404,1010,89,50,0,1,-0.401,0.272,0.479,0.436,-3.808,1.246,0.056392947,0.049578319,0.015700483,0.02431928,0.050027847
Larus_glaucescens,-0.0265,0.02995,1010,90,50,0,1,0.593,0.244,0.659,0.315,0.705,0.745,-0.038718582,0.029344759,0.000458937,0.050652174,0.028105413
Macronectes_giganteus,-0.0499,0.01363,3944,91,51,0,1,-0.043,0.016,0.497,0.101,0.011,0.003,NA,NA,0.005398855,0.039625019,0.02598011
Macronectes_halli,-0.0449,0.01475,4000,92,52,0,1,0.001,0.03,0.496,0.053,0.007,0.002,NA,NA,-0.005319645,0.005398855,0.026173052
Malurus_elegans,-0.0599,0.0076,9.8,93,53,1,0,-2.371,1.543,-0.32,0.23,0.887,0.158,-0.037952252,0.015274366,-0.000669513,0.045315651,0.034511648
Margarops_fuscatus,-0.083,0.03138,75,94,54,1,0,0.509,0.38,2.122,1.689,1.883,0.488,-0.063315551,0.033961502,0.02564862,5.09E-05,0.010354924
Melanerpes_formicivorus,0.02709,0.01451,78.1,95,55,1,0,0.062,0.065,0.725,0.31,-0.45,0.257,0.025291833,0.014602446,0.039638363,-0.004638363,0.031329467
Mergus_squamatus,-0.0257,0.0638,1234,96,56,0,1,-1.013,0.322,-0.268,0.65,-0.121,0.94,-0.058354016,0.062120378,-0.074505495,0.062417582,0.012857143
Milvus_migrans,-0.0027,0.03355,600,97,57,0,1,-0.333,0.126,-0.106,0.436,0.075,0.635,0.031176428,0.03250448,-0.050923077,0.052769231,0.035538462
