"x"
"Lagonosticta sanguinodorsalis"
"Lagonosticta rara"
"Emberiza tahapisi"
"Progne subis"
"Pseudopodoces humilis"
"Coryphospingus pileatus"
"Calidris pusilla"
"Aphrastura spinicauda"
"Leptasthenura aegithaloides"
"Pseudoasthenes humicola"
"Sylviorthorhynchus desmursii"
"Clanga pomarina"
"Sturnus vulgaris"
"Pandion haliaetus"
"Empidonax flaviventris"
"Scelorchilus rubecula"
"Myrmeciza fortis"
"Rhegmatorhina melanosticta"
"Thamnophilus bridgesi"
"Myrmeciza exsul"
"Manacus aurantiacus"
"Arremon aurantiirostris"
"Galbula albirostris"
"Sclerurus rufigularis"
"Myrmotherula guttata"
"Microcerculus bambla"
"Eurynorhynchus pygmeus"
