"parameter","rhat","ess_bulk","ess_tail"
"r_id[112,Intercept]",1.0000789759037,26989.5642930587,11956.5655377971
"r_id[113,Intercept]",1.00002411933892,27514.2227030374,12660.4686159206
"r_id[114,Intercept]",1.00075325470628,28217.3486801082,11525.5449590874
"r_id[115,Intercept]",0.999996149785624,16422.1074779977,11973.123699275
"r_id[116,Intercept]",1.00013798434665,22300.9789885122,12679.4987147766
"r_id[117,Intercept]",1.00048548965544,24399.5490003213,12539.904583126
"r_id[118,Intercept]",1.00016137760763,24871.9499693637,11559.5169334276
"r_id[119,Intercept]",1.00019762204845,27230.7757488424,11619.8002627039
"r_id[120,Intercept]",1.00003443977326,30245.3686001821,11406.523327826
"r_id[121,Intercept]",1.00017845668431,28804.4691700349,11773.9091155961
"r_id[122,Intercept]",0.999899698577419,23997.6968243198,12577.6198832139
"r_id[123,Intercept]",1.00013834800824,23006.6524039146,11818.9447875458
"r_id[124,Intercept]",1.00023638441818,28237.0617579672,11684.2223953982
"r_id[125,Intercept]",1.00008053021514,30774.168334904,12218.5105834068
"r_id[126,Intercept]",1.00001630319112,26117.2256538396,11821.9956367429
"r_id[127,Intercept]",1.00016334282988,16678.8068931899,12358.7760857487
"r_id[128,Intercept]",1.00042352610744,28109.1931044959,12163.5497294796
"r_id[129,Intercept]",1.0009919581761,24592.5001230563,12026.0080993654
"r_id[130,Intercept]",1.00027559802545,30910.6551990595,11837.1657538385
"r_id[131,Intercept]",1.00003114105025,26848.9935716034,11393.2355007513
"r_id[132,Intercept]",0.999983593828535,19091.6711531833,12900.5204686801
"r_id[133,Intercept]",1.00022250736564,29813.9964608232,11883.6271681242
"r_id[134,Intercept]",0.99995304829912,11069.6852468247,11592.4417146309
"r_id[135,Intercept]",1.00067994605218,27129.7940649448,11662.8418486501
"r_id[136,Intercept]",1.00036928308079,10619.9061725643,11553.6272626399
"r_id[137,Intercept]",1.00030297714404,31120.9370586556,12651.3890246688
"r_id[138,Intercept]",1.00021085600158,28016.5445347548,12208.4949325552
"r_id[139,Intercept]",1.00005467031339,22292.2515700624,12456.619789839
"r_id[140,Intercept]",1.0001735310486,25515.5291000378,12853.2664485858
"r_id[141,Intercept]",1.00035519840957,19245.3325107077,12573.4709649892
"r_id[142,Intercept]",1.00002861720889,22254.9865974227,12914.9514984697
"r_id[143,Intercept]",1.00013653440024,28311.6957452068,11275.8057200113
"r_id[144,Intercept]",1.00036103214558,28577.3376560144,12702.3446952883
"r_id[145,Intercept]",1.00003897107216,27897.8768008623,13024.5586046225
"r_id[146,Intercept]",1.00004665640847,16892.2000817313,12859.6348402603
"r_id[147,Intercept]",0.999947899890748,23814.6464848813,12621.8344405773
"r_id[148,Intercept]",1.00059215727788,27649.0546412432,11684.5962226647
"r_id[149,Intercept]",1.00048312734895,31940.8015532083,11364.0505329006
"r_id[150,Intercept]",1.00002800934794,31824.318284819,12113.3036535163
"r_id[151,Intercept]",1.000052619005,19726.1795867531,12638.6878658922
"r_id[152,Intercept]",1.00097911863053,32442.4530869307,12329.0712668969
"r_id[153,Intercept]",1.00001737220016,26797.8270676482,12112.530799652
"r_id[154,Intercept]",1.00043737545536,21791.6810085379,11000.5484750168
"r_id[155,Intercept]",1.00057829224918,25843.9003379602,12034.1985750701
"r_id[156,Intercept]",1.00044528329344,22034.9739218688,12387.3126716438
"r_id[157,Intercept]",1.00019314893761,20347.3759294326,12009.9175450757
"r_id[158,Intercept]",1.00021255355674,23977.7132553302,12397.788317707
"r_id[159,Intercept]",1.00005314727928,28766.4021297983,12448.4381508699
"r_id[160,Intercept]",1.00004584597946,24680.3175706748,12909.0888971363
"r_id[161,Intercept]",0.999897963892103,22646.0066876869,12256.430553281
"r_id[162,Intercept]",1.00005550641789,23792.6320777073,12782.9967466715
"r_id[163,Intercept]",1.00059371377466,21509.0664887792,11750.17171857
"r_id[164,Intercept]",1.00006054085493,21602.0330731129,12793.6652203187
"r_id[165,Intercept]",1.00035287684161,23659.6819316429,12430.7282811759
"r_id[166,Intercept]",1.00008836542862,19173.6192997122,12628.1633597558
"r_id[167,Intercept]",1.00016743404384,21071.9261719484,12737.4386498728
"r_id[168,Intercept]",0.999985813648264,25430.2804197216,12845.9854288814
"r_id[169,Intercept]",1.00054697125773,28416.7219510361,11673.4844177753
"r_id[170,Intercept]",1.0002318017047,28263.6278956736,12033.0064858378
"r_phy[Hogna_helluo,Intercept]",1.00038647907878,10063.7557955824,9230.36933106213
"r_phy[Centruroides_vittatus,Intercept]",1.00056001558407,10129.9814377503,8972.73742124064
"r_phy[Chorthippus_brunneus,Intercept]",1.00044742211185,10330.4625574304,10176.4841193892
"r_phy[Prostephanus_truncatus,Intercept]",1.00086379314701,10308.413379408,9775.4054741103
"r_phy[Nicrophorus_pustulatus,Intercept]",1.000799982618,10110.432990556,10081.5558807945
"r_phy[Copidosoma_bakeri,Intercept]",1.00046277385201,10279.47633677,10521.1196097763
"r_phy[Wyeomyia_smithii,Intercept]",1.00069926112978,10659.5341387923,10623.3544631237
"r_phy[Araschnia_levana,Intercept]",1.00087224995774,10573.6681255761,10434.5396178224
"r_phy[Bicyclus_anynana,Intercept]",1.00067093405468,10500.5463123431,10267.0201630808
"r_phy[Lernanthropus_cynoscicola,Intercept]",1.00041230228581,8721.29853076643,8411.10030526855
"r_phy[Daphnia_magna,Intercept]",1.00031781408005,8836.42378796804,8589.55913317299
"r_phy[Austropotamobius_italicus,Intercept]",1.00033712770646,9474.10791913882,9283.09477738392
"r_phy[Galaxias_pullus,Intercept]",1.00053464424066,8629.06338716586,9130.76005245426
"r_phy[Galaxias_eldoni,Intercept]",1.00052008253585,8757.05353835671,9227.19712024265
"r_phy[Galaxias_gollumoides,Intercept]",1.00032016713012,10091.4567596692,9609.38894165893
"r_phy[Galaxias_anomalus,Intercept]",1.00035050092071,9980.81893409295,9655.22932335686
"r_phy[Galaxias_depressiceps,Intercept]",1.00044259886353,9672.54048020812,9742.24021580034
"r_phy[Galaxias_southern,Intercept]",1.0004987611984,9545.47132140158,8877.3326754594
"r_phy[Galaxias_D.,Intercept]",1.00045041068701,9860.22913668833,9674.0699570923
"r_phy[Galaxias_vulgaris,Intercept]",1.00049868441768,10035.6813998261,9402.50814479532
"r_phy[Gambusia_geiseri,Intercept]",1.00034618464614,10735.8600727843,10552.0676252342
"r_phy[Gambusia_affinis,Intercept]",1.00036238835952,10910.6505204895,10728.7958647391
"r_phy[Gambusia_holbrooki,Intercept]",1.00029368536204,10866.2208727072,11021.6233382677
"r_phy[Neolamprologus_pulcher,Intercept]",1.00011522276687,11285.1077759531,10958.6252068573
"r_phy[Plethodon_albagula,Intercept]",0.99991683304355,9017.83399809972,9970.20532371592
"r_phy[Hynobius_retardatus,Intercept]",0.999993300317491,8994.69777280763,9949.94046077134
"r_phy[Alytes_obstetricans,Intercept]",1.00010153579209,10617.9664558209,10460.9932356958
